Fecha,Docto,Folio,TipoMovimiento,Almacen,Entradas,Salidas,Existencias,CostoUnitario,CantPorCostear,Capas,CodigoProducto,DescripcionProducto,Unidad,Últ.Compra,ControlAlmacen,MinStock,MaxStock,ExistenciaTotal
15/Jul/2021,RECEP02019,34980,Compras,1,500.0,0.0,1622.0,0.7779,0.0,0.0,CONECAZUL,TOPE A.T.  FORRO ZAUL CAL. 16-14,PZ,24/Jul/2023,M,50.0,100.0,305.0
30/Jun/2021,RECEP01977,34159,Compras,1,1000.0,0.0,1148.0,0.7779,0.0,0.0,CONECAZUL,TOPE A.T.  FORRO ZAUL CAL. 16-14,PZ,24/Jul/2023,M,50.0,100.0,305.0
16/Feb/2021,RECEP01611,27142,Compras,1,500.0,0.0,540.0,0.7779,0.0,0.0,CONECAZUL,TOPE A.T.  FORRO ZAUL CAL. 16-14,PZ,24/Jul/2023,M,50.0,100.0,305.0
24/Dic/2021,RECEP02384,42976,Compras,1,1.0,0.0,2.0,10400.0,0.0,0.0,BRI8ACNOM150-8,BRIDA AC 8 Ø NOM. C/8 BARR 150LB CIEGA,PZ,24/Dic/2021,L,2.0,3.0,1.0
08/Jul/2021,RECEP02011,34624,Compras,1,345.0,0.0,632.2,11.73652,0.0,0.0,AL8020-17,ALAMBRE 8020 CAL.17,M,08/Jul/2021,MP,0.0,0.0,104.0
02/Sep/2021,RECEP02134,37586,Compras,1,10.0,0.0,20.5,30.76,2.9,89.204,CABUR14X3,CABLE USO RUDO 3 HILOS CAL.14,M,22/Ago/2023,MP,0.0,0.0,27.0
08/Abr/2021,RECEP01766,30018,Compras,1,10.0,0.0,12.1,28.12,4.9,137.788,CABUR14X3,CABLE USO RUDO 3 HILOS CAL.14,M,22/Ago/2023,MP,0.0,0.0,27.0
21/Ene/2021,RECEP01533,25688,Compras,1,5.0,0.0,7.1,23.42,0.0,0.0,CABUR14X3,CABLE USO RUDO 3 HILOS CAL.14,M,22/Ago/2023,MP,0.0,0.0,27.0
02/Sep/2021,RECEP02134,37586,Compras,1,10.0,0.0,15.0,74.57,0.0,0.0,CABUR3X10,CABLE USO RUDO 3 HILOS CAL.10,M,08/Nov/2023,MP,0.0,0.0,32.0
22/Jun/2021,RECEP01955,33734,Compras,1,10.0,0.0,10.0,74.57,0.0,0.0,CABUR3X10,CABLE USO RUDO 3 HILOS CAL.10,M,08/Nov/2023,MP,0.0,0.0,32.0
19/Feb/2021,RECEP01625,27378,Compras,1,200.0,0.0,338.0,0.181,51.0,9.231,TUER GAL 5/32 H,"TUERCA GALV HEXA 5/32""	TUS""",PZ,25/Feb/2022,MP,0.0,0.0,654.0
27/Oct/2021,RECEP02259,40227,Compras,1,20.0,0.0,23.0,215.66,0.0,0.0,TAPLAT1,"TAPON LATON 1 NPT""",PZ,13/Sep/2023,D,5.0,10.0,6.0
05/Jul/2021,RECEP01995,34453,Compras,1,20.0,0.0,29.0,215.66,0.0,0.0,TAPLAT1,"TAPON LATON 1 NPT""",PZ,13/Sep/2023,D,5.0,10.0,6.0
07/Jun/2021,RECEP01919,32890,Compras,1,15.0,0.0,26.0,165.89,0.0,0.0,TAPLAT1,"TAPON LATON 1 NPT""",PZ,13/Sep/2023,D,5.0,10.0,6.0
10/Nov/2021,RECEP02289,40889,Compras,1,25.0,0.0,25.0,770.0,0.0,0.0,HUSIRJ1X1/4,"HULE SILICON DE 1""X1/4""",MT,11/Jul/2022,F,5.0,10.0,7.4
01/Jun/2021,RECEP01904,32648,Compras,1,10.0,0.0,10.0,350.0,0.0,0.0,CER-CA-058,"CERAMICO P/TUBO DE CUARZO 5/8"" CA-058",PZ,10/Jul/2023,MP,0.0,0.0,30.0
03/May/2021,RECEP01835,31137,Compras,1,0.8,0.0,0.8,1950.0,0.0,0.0,"SOLAIX2""X1/8""ESP","SOLERA A/INOX 2"" X 1/8"" ESP",M,03/May/2021,MP,0.0,0.0,0.0
10/Dic/2021,RECEP02361,42393,Compras,1,36.0,0.0,151.2593,48.15,0.0,0.0,TUINOX3/8T304C,"TUBING ACERO INOX TIPO 304 - 3/8"" Ø",MT,19/Oct/2023,P,60.0,600.0,177.411
10/Dic/2021,RECEP02361,42393,Compras,1,60.0,0.0,115.2593,48.15,0.0,0.0,TUINOX3/8T304C,"TUBING ACERO INOX TIPO 304 - 3/8"" Ø",MT,19/Oct/2023,P,60.0,600.0,177.411
29/Sep/2021,RECEP02191,38840,Compras,1,305.0,0.0,418.0493,26.12,0.0,0.0,TUINOX3/8T304C,"TUBING ACERO INOX TIPO 304 - 3/8"" Ø",MT,19/Oct/2023,P,60.0,600.0,177.411
25/May/2021,RECEP01884,32292,Compras,1,305.0,0.0,474.1713,22.89,0.0,0.0,TUINOX3/8T304C,"TUBING ACERO INOX TIPO 304 - 3/8"" Ø",MT,19/Oct/2023,P,60.0,600.0,177.411
09/Mar/2021,RECEP01695,28400,Compras,1,360.0,0.0,495.5713,31.73,0.0,0.0,TUINOX3/8T304C,"TUBING ACERO INOX TIPO 304 - 3/8"" Ø",MT,19/Oct/2023,P,60.0,600.0,177.411
12/Feb/2021,RECEP01615,27261,Compras,1,12.0,0.0,12.0,6700.0,0.0,0.0,"MODULO8""",MODULO DE FIBRA PARA 1430° 12 LBS,PZ,12/Feb/2021,MP,0.0,0.0,2.0
19/May/2021,RECEP01871,32004,Compras,1,200.0,0.0,1210.0,0.98,9.0,8.82,REMCAR3/8,"REMATE P/ CARTUCHO 3/8""	TUS""",PZ,09/Jun/2023,I,50.0,100.0,1066.0
13/May/2021,RECEP01855,31710,Compras,1,200.0,0.0,1014.0,1.0,196.0,352.0,REMCAR3/8,"REMATE P/ CARTUCHO 3/8""	TUS""",PZ,09/Jun/2023,I,50.0,100.0,1066.0
10/Sep/2021,RECEP02166,38029,Compras,1,24.0,0.0,26.5,39.0,0.0,0.0,VA00125,CINTA NIQUEL 9.5X102.DE ESPESOR,M,09/May/2023,MP,0.0,0.0,0.0
17/May/2021,RECEP01860,31806,Compras,1,8.0,0.0,8.0,39.0,0.0,0.0,VA00125,CINTA NIQUEL 9.5X102.DE ESPESOR,M,09/May/2023,MP,0.0,0.0,0.0
28/May/2021,RECEP01895,32456,Compras,1,11.0,0.0,11.0,550.0,0.0,0.0,CABPT1003HILOS,CABLE PT1000 3 HILOS FORRO DE PVC,M,28/May/2021,MP,0.0,0.0,0.0
17/Jun/2021,RECEP01941,33487,Compras,1,1.0,0.0,1.0,6600.0,0.0,0.0,ALA1-16,ALAMBRE A1 CAL.16,M,17/Jun/2021,MP,0.0,0.0,0.0
29/Sep/2021,RECEP02196,38876,Compras,1,18.0,0.0,27.01,124.8333,0.0,0.0,TUCO1/2C,"TUBO COBRE 1/2"" T/L (0.625""ODX0.040""WT)",MT,09/Jun/2023,P,3.0,6.0,3.21
22/Feb/2021,RECEP01628,27481,Compras,1,18.0,0.0,19.16,106.67,0.0,0.0,TUCO1/2C,"TUBO COBRE 1/2"" T/L (0.625""ODX0.040""WT)",MT,09/Jun/2023,P,3.0,6.0,3.21
21/Jun/2021,RECEP01950,33676,Compras,1,2.0,0.0,2.0,10.0,0.0,0.0,BISAGRATUB5/8,"BISAGRA TUBULAR 5/8""",PZ,21/Jun/2021,MP,0.0,0.0,4.0
15/Ene/2021,RECEP01515,25458,Compras,1,10.0,0.0,10.0,68.0,0.0,0.0,ANILLO7/16,ANILLO DE LATON PARA TUBULARES Ø,PZ,15/Ene/2021,MP,0.0,0.0,0.0
24/Mar/2021,RECEP01735,29304,Compras,1,1.0,0.0,1.275,14400.0,0.0,0.0,"BARACCR3""","BARRA HEXA A/COMUN 3""",M,26/Sep/2023,MP,0.0,0.0,1.675
03/Dic/2021,RECEP02345,42048,Compras,1,2.0,0.0,2.0,2900.0,0.0,0.0,CER00129,TUBO CERAMICO FUNDA 10MMØ INT.X 21,PZ,03/Dic/2021,MP,0.0,0.0,0.0
01/Sep/2021,RECEP02133,37507,Compras,1,3.0,0.0,3.0,4300.0,0.0,0.0,CER00129,TUBO CERAMICO FUNDA 10MMØ INT.X 21,PZ,03/Dic/2021,MP,0.0,0.0,0.0
19/May/2021,RECEP01871,32004,Compras,1,5.0,0.0,13.0,1076.54,0.0,0.0,TE0055,TERMOSTATO R. SHAW  B/L 50° A 300°C,PZ,19/Oct/2023,Stock máximo:,0.0,0.0,10.0
30/Mar/2021,RECEP01743,29612,Compras,1,10.0,0.0,15.0,1076.54,0.0,0.0,TE0055,TERMOSTATO R. SHAW  B/L 50° A 300°C,PZ,19/Oct/2023,Stock máximo:,0.0,0.0,10.0
08/Dic/2021,RECEP02356,42235,Compras,1,6.0,0.0,7.0,3750.0,0.0,0.0,CIFV0002,CINTA FIV AISLANTE TUK 18 MM,PZ,12/Jul/2023,B,5.0,10.0,5.0
19/Nov/2021,RECEP02308,41268,Compras,1,6.0,0.0,6.0,3750.0,0.0,0.0,CIFV0002,CINTA FIV AISLANTE TUK 18 MM,PZ,12/Jul/2023,B,5.0,10.0,5.0
16/Jun/2021,RECEP01936,33435,Compras,1,6.0,0.0,10.0,269.0,0.0,0.0,CIFV0002,CINTA FIV AISLANTE TUK 18 MM,PZ,12/Jul/2023,B,5.0,10.0,5.0
27/Ene/2021,RECEP01550,26017,Compras,1,6.0,0.0,9.0,269.0,0.0,0.0,CIFV0002,CINTA FIV AISLANTE TUK 18 MM,PZ,12/Jul/2023,B,5.0,10.0,5.0
12/Nov/2021,RECEP02297,40974,Compras,1,160.0,0.0,160.0,190.0,0.0,0.0,CER0030,ELECTROCERAMICA 40233 GRANDE,PZ,14/Mar/2022,MP,0.0,0.0,0.0
21/May/2021,RECEP01872,32087,Compras,1,25.0,0.0,37.0,41.0,0.0,0.0,ESPG-3/4,"ESPAGUETI F.V. C/ACRILICO 3/4(19MM)Ø""",M,27/Oct/2023,MP,0.0,0.0,193.0
06/Ago/2021,RECEP02067,36125,Compras,1,500.0,0.0,662.0,5.0339,0.0,0.0,ZAP0002,ZAPATA OJILLO A.T. DESNUDA CAL 8,PZ,08/Nov/2023,M,100.0,300.0,948.0
15/Jun/2021,RECEP01931,33313,Compras,1,500.0,0.0,821.0,5.0339,0.0,0.0,ZAP0002,ZAPATA OJILLO A.T. DESNUDA CAL 8,PZ,08/Nov/2023,M,100.0,300.0,948.0
04/Mar/2021,RECEP01679,28244,Compras,1,500.0,0.0,1148.0,5.0339,0.0,0.0,ZAP0002,ZAPATA OJILLO A.T. DESNUDA CAL 8,PZ,08/Nov/2023,M,100.0,300.0,948.0
03/Mar/2021,RECEP01677,28185,Compras,1,500.0,0.0,648.0,5.0339,0.0,0.0,ZAP0002,ZAPATA OJILLO A.T. DESNUDA CAL 8,PZ,08/Nov/2023,M,100.0,300.0,948.0
11/Ene/2021,RECEP01499,25043,Compras,1,500.0,0.0,500.0,5.0339,0.0,0.0,ZAP0002,ZAPATA OJILLO A.T. DESNUDA CAL 8,PZ,08/Nov/2023,M,100.0,300.0,948.0
23/Jun/2021,RECEP01958,33782,Compras,1,0.5,0.0,0.5,5200.0,0.0,0.0,BARRECAL2X1,"BARRA RECTANGULAR ALUMINIO 2""X1""",M,23/Jun/2021,MP,0.0,0.0,0.8
04/May/2021,RECEP01838,31238,Compras,1,30.0,0.0,92.0,1540.0,0.0,0.0,AL8020-7,ALAMBRE 8020 CAL.7,M,04/May/2021,MP,0.0,0.0,84.99
10/Nov/2021,RECEP02290,40891,Compras,1,100.0,0.0,331.0,8.55,0.0,0.0,CABFV-20250°,CABLE FV CAL.20-250°,M,31/Oct/2023,MP,0.0,0.0,359.3
09/Jun/2021,RECEP01924,33039,Compras,1,100.0,0.0,243.83,8.55,0.0,0.0,CABFV-20250°,CABLE FV CAL.20-250°,M,31/Oct/2023,MP,0.0,0.0,359.3
